Year	Site	Tree	0pt1km	0pt5km	1km	2km	Foundresses	Poll	Npoll	SO1	SO2	LO1	Het1	Het2	Aepoc	Physo	Seeds	Crop	Vol	Lat	Nearest20	Nearest5	Nearest10	Nearest40
2010	170	6	0	0	0	0	0	0	22	0	21	0	1	0	0	1	NA	13	753.6	28.24057	5.36444	5.253338	5.295228	5.512619
2010	170	6	0	0	0	0	0	0	10	0	2	7	1	0	0	9	NA	13	1025.7333333333	28.24057	5.36444	5.253338	5.295228	5.512619
2010	170	6	0	0	0	0	1	7	37	0	37	0	0	0	1	0	NA	13	1047.7133333333	28.24057	5.36444	5.253338	5.295228	5.512619
2010	170	6	0	0	0	0	0	0	36	13	12	10	1	0	0	0	NA	13	1230.88	28.24057	5.36444	5.253338	5.295228	5.512619
2010	170	6	0	0	0	0	0	0	34	0	0	24	7	3	1	1	NA	13	884.4333333333	28.24057	5.36444	5.253338	5.295228	5.512619
2010	170	6	0	0	0	0	0	0	33	0	0	21	9	3	2	0	NA	13	1128.3066666667	28.24057	5.36444	5.253338	5.295228	5.512619
2010	170	6	0	0	0	0	0	0	36	0	0	23	13	0	1	0	NA	13	1025.7333333333	28.24057	5.36444	5.253338	5.295228	5.512619
2010	170	6	0	0	0	0	0	0	17	0	0	16	1	0	1	1	NA	13	565.2	28.24057	5.36444	5.253338	5.295228	5.512619
2010	170	6	0	0	0	0	0	0	17	0	1	15	0	1	0	5	NA	13	1428.7	28.24057	5.36444	5.253338	5.295228	5.512619
2010	170	6	0	0	0	0	0	0	28	0	2	22	3	1	1	2	NA	13	972.8766666667	28.24057	5.36444	5.253338	5.295228	5.512619
2010	170	6	0	0	0	0	0	0	13	0	0	11	1	1	0	1	NA	13	898.04	28.24057	5.36444	5.253338	5.295228	5.512619
2010	170	6	0	0	0	0	0	0	13	0	0	12	0	1	0	0	NA	13	816.4	28.24057	5.36444	5.253338	5.295228	5.512619
2010	170	6	0	0	0	0	0	0	4	0	0	4	0	0	2	2	NA	13	443.2633333333	28.24057	5.36444	5.253338	5.295228	5.512619
2010	170	6	0	0	0	0	0	0	31	2	7	22	0	0	0	0	NA	13	734.76	28.24057	5.36444	5.253338	5.295228	5.512619
2010	170	6	0	0	0	0	0	0	18	0	0	14	4	0	0	0	NA	13	795.99	28.24057	5.36444	5.253338	5.295228	5.512619
2010	170	6	0	0	0	0	0	0	15	1	6	7	0	1	0	0	NA	13	1530.75	28.24057	5.36444	5.253338	5.295228	5.512619
2010	170	6	0	0	0	0	0	0	13	0	0	12	1	0	1	1	NA	13	898.04	28.24057	5.36444	5.253338	5.295228	5.512619
2010	170	6	0	0	0	0	0	0	9	0	0	7	2	0	3	0	NA	13	678.24	28.24057	5.36444	5.253338	5.295228	5.512619
2010	170	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	678.24	28.24057	5.36444	5.253338	5.295228	5.512619
2010	170	6	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	1208.9	28.24057	5.36444	5.253338	5.295228	5.512619
2010	172	2	26	58	66	69	0	0	0	0	0	0	0	0	0	2	NA	12	1875.6266666667	28.2913	0.07143659	0.01001079	0.03766065	0.1614209
2010	172	2	26	58	66	69	0	0	46	0	0	31	15	0	0	3	NA	12	2505.72	28.2913	0.07143659	0.01001079	0.03766065	0.1614209
2010	172	2	26	58	66	69	0	0	39	0	0	22	17	0	0	0	NA	12	2419.8933333333	28.2913	0.07143659	0.01001079	0.03766065	0.1614209
2010	172	2	26	58	66	69	1	6	17	7	2	4	0	4	0	0	NA	12	2419.8933333333	28.2913	0.07143659	0.01001079	0.03766065	0.1614209
2010	172	2	26	58	66	69	2	59	3	3	0	0	0	0	0	0	NA	12	2277.5466666667	28.2913	0.07143659	0.01001079	0.03766065	0.1614209
2010	172	2	26	58	66	69	0	0	27	15	0	7	5	0	0	3	NA	12	2277.5466666667	28.2913	0.07143659	0.01001079	0.03766065	0.1614209
2010	172	2	26	58	66	69	0	0	27	0	0	24	2	1	4	2	NA	12	2268.65	28.2913	0.07143659	0.01001079	0.03766065	0.1614209
2010	172	2	26	58	66	69	0	0	26	17	9	0	0	0	0	0	NA	12	1648.5	28.2913	0.07143659	0.01001079	0.03766065	0.1614209
2010	172	2	26	58	66	69	0	0	12	1	11	0	0	0	1	4	NA	12	1884	28.2913	0.07143659	0.01001079	0.03766065	0.1614209
2010	172	2	26	58	66	69	0	0	23	0	0	15	6	2	0	0	NA	12	1436.0266666667	28.2913	0.07143659	0.01001079	0.03766065	0.1614209
2010	172	2	26	58	66	69	3	70	11	1	0	7	3	0	0	0	NA	12	2722.38	28.2913	0.07143659	0.01001079	0.03766065	0.1614209
2010	172	2	26	58	66	69	1	1	4	0	0	4	0	0	0	1	NA	12	2001.75	28.2913	0.07143659	0.01001079	0.03766065	0.1614209
2010	172	2	26	58	66	69	1	0	29	0	0	12	3	14	0	0	NA	12	2402.1	28.2913	0.07143659	0.01001079	0.03766065	0.1614209
2010	172	2	26	58	66	69	0	0	4	0	0	3	1	0	0	0	NA	12	1230.88	28.2913	0.07143659	0.01001079	0.03766065	0.1614209
2010	172	2	26	58	66	69	0	0	8	0	0	5	1	2	0	0	NA	12	1538.6	28.2913	0.07143659	0.01001079	0.03766065	0.1614209
2010	172	2	26	58	66	69	1	5	49	1	0	47	0	1	0	0	NA	12	1530.75	28.2913	0.07143659	0.01001079	0.03766065	0.1614209
2010	172	2	26	58	66	69	1	148	71	23	4	29	15	0	0	0	NA	12	2882.52	28.2913	0.07143659	0.01001079	0.03766065	0.1614209
2010	172	2	26	58	66	69	2	9	43	0	0	39	4	0	1	5	NA	12	1538.6	28.2913	0.07143659	0.01001079	0.03766065	0.1614209
2010	172	2	26	58	66	69	1	18	25	0	0	25	0	0	0	0	NA	12	1428.7	28.2913	0.07143659	0.01001079	0.03766065	0.1614209
2010	172	2	26	58	66	69	1	6	74	0	0	71	2	1	1	1	NA	12	1333.4533333333	28.2913	0.07143659	0.01001079	0.03766065	0.1614209
2010	172	2	26	58	66	69	1	24	86	31	0	54	1	0	0	0	NA	12	1758.4	28.2913	0.07143659	0.01001079	0.03766065	0.1614209
2010	172	2	26	58	66	69	1	4	90	1	0	70	15	4	0	0	NA	12	1758.4	28.2913	0.07143659	0.01001079	0.03766065	0.1614209
2010	172	2	26	58	66	69	1	7	121	0	0	120	0	1	0	0	NA	12	1318.8	28.2913	0.07143659	0.01001079	0.03766065	0.1614209
2010	172	2	26	58	66	69	1	1	77	0	0	69	0	8	0	0	NA	12	967.12	28.2913	0.07143659	0.01001079	0.03766065	0.1614209
2010	172	2	26	58	66	69	1	12	17	0	0	17	0	0	0	0	NA	12	1530.75	28.2913	0.07143659	0.01001079	0.03766065	0.1614209
2010	70	70	3	17	20	42	4	138	0	0	0	0	0	0	1	1	238	1	1978.2	23.73629	0.5711528	0.1341643	0.2208285	1.59952
2010	70	70	3	17	20	42	3	97	4	3	0	1	0	0	0	0	198	1	2535.55	23.73629	0.5711528	0.1341643	0.2208285	1.59952
2010	70	70	3	17	20	42	1	58	3	3	0	0	0	0	0	0	220	1	3692.64	23.73629	0.5711528	0.1341643	0.2208285	1.59952
2010	70	70	3	17	20	42	1	39	5	0	0	5	0	0	0	0	169	1	NA	23.73629	0.5711528	0.1341643	0.2208285	1.59952
2010	70	70	3	17	20	42	1	129	0	0	0	0	0	0	0	0	188	1	1758.4	23.73629	0.5711528	0.1341643	0.2208285	1.59952
2010	70	70	3	17	20	42	1	77	6	0	0	6	0	0	0	2	139	1	2009.6	23.73629	0.5711528	0.1341643	0.2208285	1.59952
2010	70	70	3	17	20	42	1	74	0	0	0	0	0	0	2	2	173	1	1648.5	23.73629	0.5711528	0.1341643	0.2208285	1.59952
2010	70	70	3	17	20	42	1	50	9	0	0	9	0	0	0	0	92	1	1230.88	23.73629	0.5711528	0.1341643	0.2208285	1.59952
2010	70	70	3	17	20	42	3	137	12	0	0	12	0	0	0	0	155	1	2110.08	23.73629	0.5711528	0.1341643	0.2208285	1.59952
2010	70	70	3	17	20	42	1	60	4	0	0	4	0	0	0	2	119	1	1036.2	23.73629	0.5711528	0.1341643	0.2208285	1.59952
2010	70	70	3	17	20	42	3	18	10	0	0	10	0	0	0	0	203	1	2402.1	23.73629	0.5711528	0.1341643	0.2208285	1.59952
2010	70	70	3	17	20	42	1	72	0	0	0	0	0	0	4	0	243	1	2402.1	23.73629	0.5711528	0.1341643	0.2208285	1.59952
2010	70	70	3	17	20	42	1	72	0	0	0	0	0	0	0	0	NA	1	1758.4	23.73629	0.5711528	0.1341643	0.2208285	1.59952
2010	70	70	3	17	20	42	1	20	0	0	0	0	0	0	1	1	129	1	2143.5733333333	23.73629	0.5711528	0.1341643	0.2208285	1.59952
2010	70	70	3	17	20	42	1	43	0	0	0	0	0	0	1	0	122	1	1868.3	23.73629	0.5711528	0.1341643	0.2208285	1.59952
2010	172	30	5	52	58	69	1	43	37	6	4	22	0	5	0	0	NA	15	569.91	28.29067	0.2045504	0.09337543	0.1418886	0.3653919
2010	172	30	5	52	58	69	1	58	102	6	15	75	1	5	0	0	NA	15	1047.7133333333	28.29067	0.2045504	0.09337543	0.1418886	0.3653919
2010	172	30	5	52	58	69	1	65	56	0	0	50	1	5	0	0	NA	15	1436.0266666667	28.29067	0.2045504	0.09337543	0.1418886	0.3653919
2010	172	30	5	52	58	69	1	129	40	0	0	27	11	2	0	0	NA	15	1538.6	28.29067	0.2045504	0.09337543	0.1418886	0.3653919
2010	172	30	5	52	58	69	1	87	90	0	6	68	8	8	0	10	NA	15	1295.25	28.29067	0.2045504	0.09337543	0.1418886	0.3653919
2010	172	30	5	52	58	69	1	83	97	11	22	64	0	0	0	0	NA	15	1025.7333333333	28.29067	0.2045504	0.09337543	0.1418886	0.3653919
2010	172	30	5	52	58	69	0	0	50	0	0	20	1	29	0	0	NA	15	633.2333333333	28.29067	0.2045504	0.09337543	0.1418886	0.3653919
2010	172	30	5	52	58	69	0	0	63	2	2	40	19	0	0	0	NA	15	1238.2066666667	28.29067	0.2045504	0.09337543	0.1418886	0.3653919
2010	172	30	5	52	58	69	2	78	26	0	0	14	0	12	0	0	NA	15	1142.96	28.29067	0.2045504	0.09337543	0.1418886	0.3653919
2010	172	30	5	52	58	69	0	0	61	0	0	45	13	3	0	0	NA	15	898.04	28.29067	0.2045504	0.09337543	0.1418886	0.3653919
2010	172	30	5	52	58	69	3	60	64	5	6	48	5	0	0	0	NA	15	1632.8	28.29067	0.2045504	0.09337543	0.1418886	0.3653919
2010	172	30	5	52	58	69	0	0	27	0	0	17	10	0	1	0	NA	15	506.5866666667	28.29067	0.2045504	0.09337543	0.1418886	0.3653919
2010	172	30	5	52	58	69	2	64	33	0	0	32	0	1	0	0	NA	15	952.4666666667	28.29067	0.2045504	0.09337543	0.1418886	0.3653919
2010	172	30	5	52	58	69	1	42	19	0	0	18	1	0	0	0	NA	15	523.3333333333	28.29067	0.2045504	0.09337543	0.1418886	0.3653919
2010	172	30	5	52	58	69	1	36	34	0	1	27	0	6	0	0	NA	15	1047.7133333333	28.29067	0.2045504	0.09337543	0.1418886	0.3653919
2010	172	30	5	52	58	69	2	77	73	0	24	47	0	2	0	0	NA	15	1333.4533333333	28.29067	0.2045504	0.09337543	0.1418886	0.3653919
2010	172	30	5	52	58	69	2	95	11	0	0	11	0	0	0	0	NA	15	898.04	28.29067	0.2045504	0.09337543	0.1418886	0.3653919
2010	172	30	5	52	58	69	2	31	33	0	8	20	2	3	0	0	NA	15	816.4	28.29067	0.2045504	0.09337543	0.1418886	0.3653919
2010	172	30	5	52	58	69	1	61	16	0	0	15	0	1	0	0	NA	15	633.2333333333	28.29067	0.2045504	0.09337543	0.1418886	0.3653919
2010	172	30	5	52	58	69	3	80	2	0	0	1	0	1	0	0	NA	15	523.3333333333	28.29067	0.2045504	0.09337543	0.1418886	0.3653919
2010	172	30	5	52	58	69	1	85	61	0	0	38	13	10	0	0	NA	15	1238.2066666667	28.29067	0.2045504	0.09337543	0.1418886	0.3653919
2010	172	30	5	52	58	69	2	83	33	0	0	29	1	3	0	0	NA	15	569.91	28.29067	0.2045504	0.09337543	0.1418886	0.3653919
2010	172	30	5	52	58	69	2	107	73	0	0	69	3	1	0	0	NA	15	1648.5	28.29067	0.2045504	0.09337543	0.1418886	0.3653919
2010	172	30	5	52	58	69	1	106	31	0	15	14	0	2	0	0	NA	15	1238.2066666667	28.29067	0.2045504	0.09337543	0.1418886	0.3653919
2010	172	30	5	52	58	69	1	59	56	37	2	17	0	0	0	0	NA	15	828.96	28.29067	0.2045504	0.09337543	0.1418886	0.3653919
2010	113	1	0	2	2	2	2	54	5	0	1	4	0	0	3	5	NA	9	NA	27.24722	20.98756	2.434079	15.63644	21.30692
2010	113	1	0	2	2	2	1	36	50	1	12	37	0	0	0	4	NA	9	7799.76	27.24722	20.98756	2.434079	15.63644	21.30692
2010	113	1	0	2	2	2	0	0	2	0	2	0	0	0	0	6	NA	9	2081.82	27.24722	20.98756	2.434079	15.63644	21.30692
2010	113	1	0	2	2	2	4	1	3	3	0	0	0	0	2	4	NA	9	3736.6	27.24722	20.98756	2.434079	15.63644	21.30692
2010	113	1	0	2	2	2	2	2	5	2	0	3	0	0	4	4	NA	9	3887.8433333333	27.24722	20.98756	2.434079	15.63644	21.30692
2010	158	6A	50	86	101	101	0	0	14	0	0	12	2	0	0	0	NA	16	653.12	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	2	3	12	0	8	4	0	0	0	3	NA	16	1099	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	0	0	18	0	4	14	0	0	0	0	NA	16	1473.7066666667	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	1	10	15	0	4	11	0	0	0	0	NA	16	1966.1633333333	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	0	0	22	0	0	20	2	0	0	0	NA	16	1128.3066666667	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	0	0	13	0	0	13	0	0	0	0	NA	16	678.24	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	2	2	23	0	11	11	0	1	0	1	NA	16	1507.2	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	2	22	17	2	15	0	0	0	0	0	NA	16	1208.9	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	1	0	7	2	0	4	0	1	0	0	NA	16	1607.68	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	1	75	7	1	6	0	0	0	0	0	NA	16	1966.1633333333	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	0	0	6	0	0	6	0	0	0	0	NA	16	1025.7333333333	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	1	0	9	0	0	9	0	0	0	0	NA	16	795.99	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	0	0	11	0	0	11	0	0	0	1	NA	16	795.99	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	2	30	16	10	4	2	0	0	0	0	NA	16	1632.8	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	2	16	21	10	11	0	0	0	1	1	NA	16	898.04	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	0	0	8	0	0	8	0	0	0	0	NA	16	1381.6	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	0	0	18	0	0	16	2	0	0	0	NA	16	552.64	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	0	0	3	0	0	3	0	0	0	1	NA	16	1413	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	2	41	5	1	3	0	1	0	0	0	NA	16	1530.75	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	1	1	9	0	0	6	2	1	0	0	NA	16	884.4333333333	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	0	0	0	0	0	0	0	0	1	3	NA	16	1565.8133333333	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	0	0	5	0	0	5	0	0	0	0	NA	16	884.4333333333	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	1	0	3	0	0	3	0	0	0	1	NA	16	1473.7066666667	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	1	0	4	0	0	4	0	0	0	1	NA	16	1607.68	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	0	0	0	0	0	0	0	0	0	0	NA	16	1381.6	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	0	0	4	0	0	2	2	0	0	0	NA	16	1025.7333333333	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	0	0	0	0	0	0	0	0	0	1	NA	16	795.99	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	2	12	14	3	4	4	3	0	0	0	NA	16	1601.4	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	0	0	0	0	0	0	0	0	0	0	NA	16	1884	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	1	0	9	0	0	9	0	0	0	1	NA	16	NA	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	0	0	5	0	0	5	0	0	0	2	NA	16	1473.7066666667	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	0	0	2	0	0	2	0	0	1	0	NA	16	1708.16	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	1	1	22	6	16	0	0	0	0	0	NA	16	1413	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	1	5	5	0	0	5	0	0	0	0	NA	16	1708.16	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	1	0	10	4	6	0	0	0	0	0	NA	16	884.4333333333	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	0	0	5	0	0	0	5	0	0	1	NA	16	795.99	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	1	0	9	0	0	7	2	0	2	2	NA	16	1025.7333333333	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	0	0	0	0	0	0	0	0	0	2	NA	16	1025.7333333333	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	0	0	0	0	0	0	0	0	0	0	NA	16	795.99	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	0	0	9	0	0	5	4	0	0	0	NA	16	1473.7066666667	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	0	0	1	0	0	1	0	0	0	0	NA	16	1632.8	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	0	0	0	0	0	0	0	0	0	0	NA	16	857.22	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	158	6A	50	86	101	101	1	0	3	0	2	0	1	0	2	0	NA	16	1413	29.26118	0.0207376	0.003696896	0.00823737	0.07428892
2010	96	36	26	92	116	132	1	0	63	9	0	47	2	5	0	1	NA	8	1648.5	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	50	11	21	18	0	0	0	0	NA	8	1875.6266666667	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	1	52	9	1	19	16	7	1	0	NA	8	1436.0266666667	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	54	0	0	54	0	0	3	7	NA	8	2143.5733333333	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	28	14	0	12	2	0	0	3	NA	8	2009.6	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	1	38	5	0	31	2	0	0	3	NA	8	1743.7466666667	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	2	0	81	35	12	34	0	0	0	0	NA	8	1766.25	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	47	1	1	18	27	0	0	0	NA	8	2009.6	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	1	49	21	0	23	0	5	1	3	NA	8	1538.6	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	2	15	35	20	0	10	2	3	0	2	NA	8	2386.4	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	46	5	11	26	2	2	0	1	NA	8	1641.1733333333	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	2	9	78	23	8	38	4	5	0	0	NA	8	2562.24	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	46	2	0	30	8	6	1	3	NA	8	1766.25	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	82	12	0	68	0	2	0	0	NA	8	1992.8533333333	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	53	9	31	11	2	0	0	0	NA	8	1507.2	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	3	33	15	8	5	5	0	0	2	NA	8	2135.2	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	2	0	23	4	4	9	6	0	0	0	NA	8	1149.7633333333	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	1	47	19	7	13	8	0	0	3	NA	8	2277.5466666667	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	1	56	9	0	29	11	7	0	2	NA	8	2009.6	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	2	0	39	13	5	17	1	3	1	6	NA	8	1884	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	62	4	0	53	2	3	0	1	NA	8	1758.4	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	60	27	10	17	2	4	0	2	NA	8	1766.25	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	40	20	10	9	1	0	0	0	NA	8	1061.32	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	2	0	46	15	2	21	5	3	0	0	NA	8	1992.8533333333	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	43	10	3	29	1	0	0	0	NA	8	2135.2	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	2	4	42	11	0	23	8	0	0	0	NA	8	1884	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	30	6	1	18	5	0	0	2	NA	8	2001.75	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	43	20	12	11	0	0	0	0	NA	8	1538.6	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	50	2	12	22	9	5	0	0	NA	8	2873.6233333333	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	41	25	14	0	1	1	0	0	NA	8	2135.2	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	3	37	9	18	8	2	0	0	1	NA	8	1766.25	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	NA	1	47	30	0	14	0	3	0	1	NA	8	NA	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	0	0	40	9	11	19	0	1	0	0	NA	8	NA	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	0	0	35	10	16	9	0	0	0	0	NA	8	1436.0266666667	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	0	0	14	4	0	3	7	0	0	0	NA	8	1142.96	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	29	16	4	8	0	1	1	0	NA	8	1318.8	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	2	2	16	5	1	7	2	1	0	0	NA	8	2001.75	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	0	0	35	0	0	7	27	1	0	0	NA	8	1758.4	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	0	0	44	22	5	16	1	0	0	0	NA	8	2562.24	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
